('北京 Beijing', '北京首都国际机场(Beijing Capital International)', 'PEK', 'ZBAA', '机场三字码：PEK', '机场四字码：ZBAA', 'FAA代码：', '城市：北京（Beijing）', '电话：0086 10 96158', '机场所在地时间：2019-3-30 01:06:32', '机场跑道：12468 英尺', '机场跑道：3790 米')
('富蕴 Fuyun', '富蕴可可托海机场(Fuyun)', 'FYN', '', '机场三字码：FYN', '机场四字码：', 'FAA代码：', '城市：富蕴（Fuyun）', '电话：', '机场所在地时间：2019-3-29 23:09:43', '机场跑道： 英尺', '机场跑道：0 米')
('沙市 Shashi', '荆州沙市机场(Shashi)', 'SHS', 'ZHSS', '机场三字码：SHS', '机场四字码：ZHSS', 'FAA代码：', '城市：沙市（Shashi）', '电话：', '机场所在地时间：2019-3-30 01:09:44', '机场跑道： 英尺', '机场跑道：0 米')
('临沧 Lincang', '临沧博尚机场(Lintsang Airfield)', 'LNJ', 'ZPLC', '机场三字码：LNJ', '机场四字码：ZPLC', 'FAA代码：', '城市：临沧（Lincang）', '电话：', '机场所在地时间：2019-3-30 00:09:45', '机场跑道： 英尺', '机场跑道：0 米')
('锡林浩特 Xilinhot', '锡林浩特机场(Xilinhot)', 'XIL', 'ZBXH', '机场三字码：XIL', '机场四字码：ZBXH', 'FAA代码：', '城市：锡林浩特（Xilinhot）', '电话：', '机场所在地时间：2019-3-30 01:09:46', '机场跑道： 英尺', '机场跑道：0 米')
(' ChiayiCity', '嘉义机场(Chiayi)', 'CYI', 'RCKU', '机场三字码：CYI', '机场四字码：RCKU', 'FAA代码：', '城市：（Chiayi City）', '电话：', '机场所在地时间：2019-3-30 01:09:47', '机场跑道：0 英尺', '机场跑道：0 米')
('库车 Kuqa', '库车龟兹机场(Kuqa)', 'KCA', 'ZWKC', '机场三字码：KCA', '机场四字码：ZWKC', 'FAA代码：', '城市：库车（Kuqa）', '电话：', '机场所在地时间：2019-3-29 23:09:48', '机场跑道： 英尺', '机场跑道：0 米')
('加格达奇 Jiagedaqi', '加格达奇嘎仙机场(Jiagedaqi)', 'JGD', '', '机场三字码：JGD', '机场四字码：', 'FAA代码：', '城市：加格达奇（Jiagedaqi）', '电话：', '机场所在地时间：2019-3-30 01:09:50', '机场跑道： 英尺', '机场跑道：0 米')
('昭通 Zhaotong', '昭通机场(Zhaotong)', 'ZAT', 'ZPZT', '机场三字码：ZAT', '机场四字码：ZPZT', 'FAA代码：', '城市：昭通（Zhaotong）', '电话：', '机场所在地时间：2019-3-30 01:09:52', '机场跑道： 英尺', '机场跑道：0 米')
('成都 Chengdu', '成都天府国际机场(CHENGDU TIANFU INTERNATIONAL AIRPORT)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：成都（Chengdu）', '电话：', '机场所在地时间：2019-3-30 01:09:53', '机场跑道：', '机场跑道：')
('鄂州 Ezhou', '顺丰机场(Shunfeng )', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：鄂州（Ezhou）', '电话：', '机场所在地时间：2019-3-30 01:09:54', '机场跑道：11811', '机场跑道：3600')
('香港 HongKong', '(Shun Tak)', 'HHP', 'VHST', '机场三字码：HHP', '机场四字码：VHST', 'FAA代码：', '城市：香港（Hong Kong）', '电话：', '机场所在地时间：2019-3-30 01:09:54', '机场跑道： 英尺', '机场跑道：0 米')
('东莞 Dongguan', '(Dongguan)', 'DGM', '', '机场三字码：DGM', '机场四字码：', 'FAA代码：', '城市：东莞（Dongguan）', '电话：', '机场所在地时间：2019-3-30 01:09:55', '机场跑道： 英尺', '机场跑道：0 米')
('蚌埠 Bengbu', '蚌埠机场(Bengbu)', 'BFU', 'ZSBB', '机场三字码：BFU', '机场四字码：ZSBB', 'FAA代码：', '城市：蚌埠（Bengbu）', '电话：', '机场所在地时间：2019-3-30 01:09:55', '机场跑道： 英尺', '机场跑道：0 米')
('佛山 Foshan', '珠三角新干线机场(airport)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：佛山（Foshan）', '电话：', '机场所在地时间：2019-3-30 01:09:57', '机场跑道：', '机场跑道：')
(' Hengchung', '恒春机场(Hengchun)', 'HCN', 'RCKW', '机场三字码：HCN', '机场四字码：RCKW', 'FAA代码：', '城市：（Hengchung）', '电话：+886 8 889 7120', '机场所在地时间：2019-3-30 01:09:58', '机场跑道：5577 英尺', '机场跑道：1695 米')
('台东 TaitungCity', '(Chihhang Air Base)', '', 'RCQS', '机场三字码：', '机场四字码：RCQS', 'FAA代码：', '城市：台东（Taitung City）', '电话：', '机场所在地时间：2019-3-30 01:09:58', '机场跑道：11055 英尺', '机场跑道：3361 米')
('马祖 BeiganIsland', '马祖北竿机场(Matsu Beigan)', 'MFK', 'RCMT', '机场三字码：MFK', '机场四字码：RCMT', 'FAA代码：', '城市：马祖（Beigan Island）', '电话：', '机场所在地时间：2019-3-30 01:10:00', '机场跑道：3773 英尺', '机场跑道：1147 米')
('香港 HongKong', '(Shek Mum)', 'QDM', '', '机场三字码：QDM', '机场四字码：', 'FAA代码：', '城市：香港（Hong Kong）', '电话：', '机场所在地时间：2019-3-30 01:10:01', '机场跑道： 英尺', '机场跑道：0 米')
('阿里地区狮泉河镇 Shiquanhe', '阿里昆莎机场(Ngari Gunsa)', 'NGQ', 'ZUAL', '机场三字码：NGQ', '机场四字码：ZUAL', 'FAA代码：', '城市：阿里地区狮泉河镇（Shiquanhe）', '电话：', '机场所在地时间：2019-3-29 22:55:02', '机场跑道： 英尺', '机场跑道：0 米')
('塔城 Tacheng', '塔城机场(Tacheng)', 'TCG', 'ZWTC', '机场三字码：TCG', '机场四字码：ZWTC', 'FAA代码：', '城市：塔城（Tacheng）', '电话：', '机场所在地时间：2019-3-29 23:10:03', '机场跑道： 英尺', '机场跑道：0 米')
('LISHAN Lishan', '(Lishan)', 'LHN', '', '机场三字码：LHN', '机场四字码：', 'FAA代码：', '城市：LISHAN（Lishan）', '电话：', '机场所在地时间：2019-3-30 01:10:06', '机场跑道： 英尺', '机场跑道：0 米')
('且末 Qiemo', '且末机场(Qiemo)', 'IQM', 'ZWCM', '机场三字码：IQM', '机场四字码：ZWCM', 'FAA代码：', '城市：且末（Qiemo）', '电话：', '机场所在地时间：2019-3-29 23:10:08', '机场跑道： 英尺', '机场跑道：0 米')
('香港 HongKong', '(Kwun Tong)', 'KTZ', '', '机场三字码：KTZ', '机场四字码：', 'FAA代码：', '城市：香港（Hong Kong）', '电话：', '机场所在地时间：2019-3-30 01:10:08', '机场跑道： 英尺', '机场跑道：0 米')
(' LongtanTownship', '(Longtan Air Base)', '', 'RCDI', '机场三字码：', '机场四字码：RCDI', 'FAA代码：', '城市：（Longtan Township）', '电话：', '机场所在地时间：2019-3-30 01:10:09', '机场跑道：3260 英尺', '机场跑道：991 米')
('格林艾兰 Lyudao', '(Lyudao)', 'GNI', 'RCGI', '机场三字码：GNI', '机场四字码：RCGI', 'FAA代码：', '城市：格林艾兰（Lyudao）', '电话：', '机场所在地时间：2019-3-30 01:10:10', '机场跑道：3255 英尺', '机场跑道：990 米')
(' TaichungCity', '(Taichung)', 'TXG', 'RCLG', '机场三字码：TXG', '机场四字码：RCLG', 'FAA代码：', '城市：（Taichung City）', '电话：', '机场所在地时间：2019-3-30 01:10:11', '机场跑道： 英尺', '机场跑道：0 米')
('邢台 Xingtai', '邢台褡裢机场(Xingtai Dalian)', 'XNT', 'ZBXT', '机场三字码：XNT', '机场四字码：ZBXT', 'FAA代码：', '城市：邢台（Xingtai）', '电话：', '机场所在地时间：2019-3-30 01:10:12', '机场跑道： 英尺', '机场跑道：0 米')
('韶关 Shaoguan', '(Shaoguan)', 'HSC', '', '机场三字码：HSC', '机场四字码：', 'FAA代码：', '城市：韶关（Shaoguan）', '电话：', '机场所在地时间：2019-3-30 01:10:13', '机场跑道： 英尺', '机场跑道：0 米')
('香港 HongKong', '(Cheung Chau Helipad)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：香港（Hong Kong）', '电话：', '机场所在地时间：2019-3-30 01:10:14', '机场跑道： 英尺', '机场跑道：0 米')
('安阳 Anyang', '安阳北郊机场(Anyang)', 'AYN', 'ZHAY', '机场三字码：AYN', '机场四字码：ZHAY', 'FAA代码：', '城市：安阳（Anyang）', '电话：', '机场所在地时间：2019-3-30 01:10:15', '机场跑道： 英尺', '机场跑道：0 米')
(' TaoyuanCity', '(Taoyuan Air Base)', '', 'RCGM', '机场三字码：', '机场四字码：RCGM', 'FAA代码：', '城市：（Taoyuan City）', '电话：', '机场所在地时间：2019-3-30 01:10:15', '机场跑道：10044 英尺', '机场跑道：3053 米')
(' Gangshan', '(Gangshan Air Force Base)', '', 'RCAY', '机场三字码：', '机场四字码：RCAY', 'FAA代码：', '城市：（Gangshan）', '电话：', '机场所在地时间：2019-3-30 01:10:17', '机场跑道：0 英尺', '机场跑道：0 米')
('SUNMOONLAKE SunMoonLake', '(Sun Moon Lake)', 'SMT', '', '机场三字码：SMT', '机场四字码：', 'FAA代码：', '城市：SUNMOONLAKE（Sun Moon Lake）', '电话：', '机场所在地时间：2019-3-30 01:10:17', '机场跑道： 英尺', '机场跑道：0 米')
(' Pingtung', '(Pingtung South)', '', 'RCDC', '机场三字码：', '机场四字码：RCDC', 'FAA代码：', '城市：（Pingtung）', '电话：', '机场所在地时间：2019-3-30 01:10:18', '机场跑道：7828 英尺', '机场跑道：2380 米')
('香港 HongKong', '(Ping Chau Helipad)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：香港（Hong Kong）', '电话：', '机场所在地时间：2019-3-30 01:10:19', '机场跑道： 英尺', '机场跑道：0 米')
('香港 HongKong', '(Peninsula Hotel Helipad)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：香港（Hong Kong）', '电话：', '机场所在地时间：2019-3-30 01:10:20', '机场跑道： 英尺', '机场跑道：0 米')
('ORCHIDISLAND OrchidIsland', '(Lanyu)', 'KYD', 'RCLY', '机场三字码：KYD', '机场四字码：RCLY', 'FAA代码：', '城市：ORCHIDISLAND（Orchid Island）', '电话：', '机场所在地时间：2019-3-30 01:10:20', '机场跑道：3852 英尺', '机场跑道：1171 米')
('酒泉 Jiuquan', '酒泉机场(Jiuhuang)', 'CHW', '', '机场三字码：CHW', '机场四字码：', 'FAA代码：', '城市：酒泉（Jiuquan）', '电话：', '机场所在地时间：2019-3-29 23:10:22', '机场跑道： 英尺', '机场跑道：0 米')
('香港 HongKong', '(Sha Tin Airfield)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：香港（Hong Kong）', '电话：', '机场所在地时间：2019-3-30 01:10:22', '机场跑道： 英尺', '机场跑道：0 米')
(' MakungCity', '(Penghu)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：（Makung City）', '电话：', '机场所在地时间：2019-3-30 01:10:23', '机场跑道： 英尺', '机场跑道：0 米')
('大足 Dazu', '大足登云机场(Dazu Air Base)', 'DZU', 'ZUDZ', '机场三字码：DZU', '机场四字码：ZUDZ', 'FAA代码：', '城市：大足（Dazu）', '电话：', '机场所在地时间：2019-3-30 01:10:24', '机场跑道： 英尺', '机场跑道：0 米')
(' KaohsiungCity', '(Zuoying Naval Airfield)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：（Kaohsiung City）', '电话：', '机场所在地时间：2019-3-30 01:10:26', '机场跑道： 英尺', '机场跑道：0 米')
(' Hsinchu', '(Hsinchu)', 'HSZ', '', '机场三字码：HSZ', '机场四字码：', 'FAA代码：', '城市：（Hsinchu）', '电话：', '机场所在地时间：2019-3-30 01:10:28', '机场跑道： 英尺', '机场跑道：0 米')
(' PratasIsland', '(Pratas Island)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：（Pratas Island）', '电话：', '机场所在地时间：2019-3-30 01:10:29', '机场跑道： 英尺', '机场跑道：0 米')
(' HualienCity', '(Hualien Air Base)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：（Hualien City）', '电话：', '机场所在地时间：2019-3-30 01:10:30', '机场跑道： 英尺', '机场跑道：0 米')
(' HsinchuCity', '(Hsinchu Air Base)', '', 'RCPO', '机场三字码：', '机场四字码：RCPO', 'FAA代码：', '城市：（Hsinchu City）', '电话：', '机场所在地时间：2019-3-30 01:10:30', '机场跑道：11955 英尺', '机场跑道：3634 米')
('林西 Linxi', '(Linxi)', 'LXI', '', '机场三字码：LXI', '机场四字码：', 'FAA代码：', '城市：林西（Linxi）', '电话：', '机场所在地时间：2019-3-30 01:10:32', '机场跑道： 英尺', '机场跑道：0 米')
('香港 HongKong', '(Heli-Tours Helipad)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：香港（Hong Kong）', '电话：', '机场所在地时间：2019-3-30 01:10:33', '机场跑道： 英尺', '机场跑道：0 米')
('膳善 Shanshan', '(Shanshan)', 'SXJ', 'ZWSS', '机场三字码：SXJ', '机场四字码：ZWSS', 'FAA代码：', '城市：膳善（Shanshan）', '电话：', '机场所在地时间：2019-3-29 23:10:34', '机场跑道： 英尺', '机场跑道：0 米')
(' BadeCity', '(Bade Airstrip)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：（Bade City）', '电话：', '机场所在地时间：2019-3-30 01:10:34', '机场跑道： 英尺', '机场跑道：0 米')
(' JohngliCity', '(Highway Strip 58 60)', '', '', '机场三字码：', '机场四字码：', 'FAA代码：', '城市：（Johngli City）', '电话：', '机场所在地时间：2019-3-30 01:10:36', '机场跑道： 英尺', '机场跑道：0 米')
